"region","alder","statistikkvariabel","måned","value"
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Haltdalen","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Haltdalen","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Leksvik","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Leksvik","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Leksvik","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Leksvik","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Leksvik","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Leksvik","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Mosvik ","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Mosvik ","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Mosvik ","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Nord-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2019M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2009M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2010M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2011M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2012M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2013M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2014M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2015M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2016M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2017M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2018M11",NA
"Uoppgitt kommune Nord-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2019M11",NA
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2009M11",65285
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2010M11",69365
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2011M11",61595
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2012M11",60503
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2013M11",68239
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2014M11",71007
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2015M11",79158
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2016M11",78154
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2017M11",64215
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2018M11",62433
"Hele landet","15-74 år","Personer registrert helt arbeidsledige","2019M11",59454
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2009M11",22324
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2010M11",23664
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2011M11",20897
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2012M11",20398
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2013M11",23209
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2014M11",22724
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2015M11",24395
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2016M11",21870
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2017M11",17063
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2018M11",17767
"Hele landet","15-29 år","Personer registrert helt arbeidsledige","2019M11",17095
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2009M11",42961
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2010M11",45701
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2011M11",40698
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2012M11",40105
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2013M11",45030
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2014M11",48283
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2015M11",54763
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2016M11",56284
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2017M11",47152
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2018M11",44666
"Hele landet","30-74 år","Personer registrert helt arbeidsledige","2019M11",42359
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2009M11",9
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2010M11",8
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2011M11",10
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2012M11",7
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2013M11",11
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2014M11",15
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2015M11",15
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2017M11",9
"Rindal","15-74 år","Personer registrert helt arbeidsledige","2018M11",13
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2009M11",4
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2011M11",7
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2012M11",3
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2013M11",3
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2014M11",5
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2015M11",6
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2017M11",4
"Rindal","15-29 år","Personer registrert helt arbeidsledige","2018M11",6
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2009M11",5
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2011M11",3
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2012M11",4
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2013M11",8
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2014M11",10
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2015M11",9
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2016M11",8
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2017M11",5
"Rindal","30-74 år","Personer registrert helt arbeidsledige","2018M11",7
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2009M11",15
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2010M11",16
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2011M11",19
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2012M11",9
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2013M11",11
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2014M11",12
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2015M11",29
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2017M11",14
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2018M11",17
"Halsa","15-74 år","Personer registrert helt arbeidsledige","2019M11",20
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2009M11",7
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2010M11",4
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2011M11",8
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2012M11",4
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2013M11",3
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2014M11",4
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2015M11",9
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2018M11",7
"Halsa","15-29 år","Personer registrert helt arbeidsledige","2019M11",5
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2009M11",8
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2010M11",12
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2011M11",11
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2012M11",5
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2013M11",8
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2014M11",8
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2015M11",20
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2016M11",13
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2018M11",10
"Halsa","30-74 år","Personer registrert helt arbeidsledige","2019M11",15
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2018M11",4474
"Trøndelag - Trööndelage","15-74 år","Personer registrert helt arbeidsledige","2019M11",4263
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2018M11",1515
"Trøndelag - Trööndelage","15-29 år","Personer registrert helt arbeidsledige","2019M11",1468
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2018M11",2959
"Trøndelag - Trööndelage","30-74 år","Personer registrert helt arbeidsledige","2019M11",2795
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2009M11",4038
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2010M11",4306
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2011M11",3318
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2012M11",3220
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2013M11",3415
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2014M11",3829
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2015M11",4090
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2016M11",3840
"Sør-Trøndelag","15-74 år","Personer registrert helt arbeidsledige","2017M11",3170
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2009M11",1514
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2010M11",1641
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2011M11",1158
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2012M11",1153
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2013M11",1262
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2014M11",1317
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2015M11",1377
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2016M11",1265
"Sør-Trøndelag","15-29 år","Personer registrert helt arbeidsledige","2017M11",991
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2009M11",2524
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2010M11",2665
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2011M11",2160
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2012M11",2067
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2013M11",2153
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2014M11",2512
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2015M11",2713
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2016M11",2575
"Sør-Trøndelag","30-74 år","Personer registrert helt arbeidsledige","2017M11",2179
"Trondheim","15-74 år","Personer registrert helt arbeidsledige","2018M11",2076
"Trondheim","15-74 år","Personer registrert helt arbeidsledige","2019M11",1868
"Trondheim","15-29 år","Personer registrert helt arbeidsledige","2018M11",683
"Trondheim","15-29 år","Personer registrert helt arbeidsledige","2019M11",619
"Trondheim","30-74 år","Personer registrert helt arbeidsledige","2018M11",1393
"Trondheim","30-74 år","Personer registrert helt arbeidsledige","2019M11",1249
"Steinkjer","15-74 år","Personer registrert helt arbeidsledige","2018M11",227
"Steinkjer","15-74 år","Personer registrert helt arbeidsledige","2019M11",215
"Steinkjer","15-29 år","Personer registrert helt arbeidsledige","2018M11",89
"Steinkjer","15-29 år","Personer registrert helt arbeidsledige","2019M11",89
"Steinkjer","30-74 år","Personer registrert helt arbeidsledige","2018M11",138
"Steinkjer","30-74 år","Personer registrert helt arbeidsledige","2019M11",126
"Namsos","15-74 år","Personer registrert helt arbeidsledige","2018M11",112
"Namsos","15-74 år","Personer registrert helt arbeidsledige","2019M11",115
"Namsos","15-29 år","Personer registrert helt arbeidsledige","2018M11",44
"Namsos","15-29 år","Personer registrert helt arbeidsledige","2019M11",61
"Namsos","30-74 år","Personer registrert helt arbeidsledige","2018M11",68
"Namsos","30-74 år","Personer registrert helt arbeidsledige","2019M11",54
"Hemne","15-74 år","Personer registrert helt arbeidsledige","2018M11",24
"Hemne","15-74 år","Personer registrert helt arbeidsledige","2019M11",18
"Hemne","15-29 år","Personer registrert helt arbeidsledige","2018M11",12
"Hemne","15-29 år","Personer registrert helt arbeidsledige","2019M11",6
"Hemne","30-74 år","Personer registrert helt arbeidsledige","2018M11",12
"Hemne","30-74 år","Personer registrert helt arbeidsledige","2019M11",12
"Snillfjord","15-74 år","Personer registrert helt arbeidsledige","2018M11",7
"Snillfjord","30-74 år","Personer registrert helt arbeidsledige","2019M11",3
"Hitra","15-74 år","Personer registrert helt arbeidsledige","2018M11",49
"Hitra","15-74 år","Personer registrert helt arbeidsledige","2019M11",53
"Hitra","15-29 år","Personer registrert helt arbeidsledige","2018M11",15
"Hitra","15-29 år","Personer registrert helt arbeidsledige","2019M11",22
"Hitra","30-74 år","Personer registrert helt arbeidsledige","2018M11",34
"Hitra","30-74 år","Personer registrert helt arbeidsledige","2019M11",31
"Frøya","15-74 år","Personer registrert helt arbeidsledige","2018M11",81
"Frøya","15-74 år","Personer registrert helt arbeidsledige","2019M11",66
"Frøya","15-29 år","Personer registrert helt arbeidsledige","2018M11",25
"Frøya","15-29 år","Personer registrert helt arbeidsledige","2019M11",17
"Frøya","30-74 år","Personer registrert helt arbeidsledige","2018M11",56
"Frøya","30-74 år","Personer registrert helt arbeidsledige","2019M11",49
"Ørland","15-74 år","Personer registrert helt arbeidsledige","2018M11",42
"Ørland","15-74 år","Personer registrert helt arbeidsledige","2019M11",44
"Ørland","15-29 år","Personer registrert helt arbeidsledige","2018M11",19
"Ørland","15-29 år","Personer registrert helt arbeidsledige","2019M11",20
"Ørland","30-74 år","Personer registrert helt arbeidsledige","2018M11",23
"Ørland","30-74 år","Personer registrert helt arbeidsledige","2019M11",24
"Agdenes","15-74 år","Personer registrert helt arbeidsledige","2018M11",7
"Agdenes","15-74 år","Personer registrert helt arbeidsledige","2019M11",10
"Agdenes","15-29 år","Personer registrert helt arbeidsledige","2019M11",6
"Agdenes","30-74 år","Personer registrert helt arbeidsledige","2019M11",4
"Bjugn","15-74 år","Personer registrert helt arbeidsledige","2018M11",28
"Bjugn","15-74 år","Personer registrert helt arbeidsledige","2019M11",49
"Bjugn","15-29 år","Personer registrert helt arbeidsledige","2018M11",13
"Bjugn","15-29 år","Personer registrert helt arbeidsledige","2019M11",19
"Bjugn","30-74 år","Personer registrert helt arbeidsledige","2018M11",15
"Bjugn","30-74 år","Personer registrert helt arbeidsledige","2019M11",30
"Åfjord","15-74 år","Personer registrert helt arbeidsledige","2018M11",24
"Åfjord","15-74 år","Personer registrert helt arbeidsledige","2019M11",19
"Åfjord","15-29 år","Personer registrert helt arbeidsledige","2018M11",14
"Åfjord","15-29 år","Personer registrert helt arbeidsledige","2019M11",6
"Åfjord","30-74 år","Personer registrert helt arbeidsledige","2018M11",10
"Åfjord","30-74 år","Personer registrert helt arbeidsledige","2019M11",13
"Roan","15-74 år","Personer registrert helt arbeidsledige","2018M11",4
"Roan","15-74 år","Personer registrert helt arbeidsledige","2019M11",23
"Roan","15-29 år","Personer registrert helt arbeidsledige","2019M11",3
"Roan","30-74 år","Personer registrert helt arbeidsledige","2019M11",20
"Osen","15-74 år","Personer registrert helt arbeidsledige","2018M11",6
"Osen","15-29 år","Personer registrert helt arbeidsledige","2018M11",3
"Osen","30-74 år","Personer registrert helt arbeidsledige","2018M11",3
"Osen","30-74 år","Personer registrert helt arbeidsledige","2019M11",6
"Oppdal","15-74 år","Personer registrert helt arbeidsledige","2018M11",47
"Oppdal","15-74 år","Personer registrert helt arbeidsledige","2019M11",44
"Oppdal","15-29 år","Personer registrert helt arbeidsledige","2018M11",18
"Oppdal","15-29 år","Personer registrert helt arbeidsledige","2019M11",13
"Oppdal","30-74 år","Personer registrert helt arbeidsledige","2018M11",29
"Oppdal","30-74 år","Personer registrert helt arbeidsledige","2019M11",31
"Rennebu","15-74 år","Personer registrert helt arbeidsledige","2018M11",12
"Rennebu","15-74 år","Personer registrert helt arbeidsledige","2019M11",17
"Rennebu","15-29 år","Personer registrert helt arbeidsledige","2018M11",5
"Rennebu","15-29 år","Personer registrert helt arbeidsledige","2019M11",8
"Rennebu","30-74 år","Personer registrert helt arbeidsledige","2018M11",7
"Rennebu","30-74 år","Personer registrert helt arbeidsledige","2019M11",9
"Meldal","15-74 år","Personer registrert helt arbeidsledige","2018M11",44
"Meldal","15-74 år","Personer registrert helt arbeidsledige","2019M11",28
"Meldal","15-29 år","Personer registrert helt arbeidsledige","2018M11",16
"Meldal","15-29 år","Personer registrert helt arbeidsledige","2019M11",8
"Meldal","30-74 år","Personer registrert helt arbeidsledige","2018M11",28
"Meldal","30-74 år","Personer registrert helt arbeidsledige","2019M11",20
"Orkdal","15-74 år","Personer registrert helt arbeidsledige","2018M11",112
"Orkdal","15-74 år","Personer registrert helt arbeidsledige","2019M11",86
"Orkdal","15-29 år","Personer registrert helt arbeidsledige","2018M11",40
"Orkdal","15-29 år","Personer registrert helt arbeidsledige","2019M11",35
"Orkdal","30-74 år","Personer registrert helt arbeidsledige","2018M11",72
"Orkdal","30-74 år","Personer registrert helt arbeidsledige","2019M11",51
"Røros","15-74 år","Personer registrert helt arbeidsledige","2018M11",36
"Røros","15-74 år","Personer registrert helt arbeidsledige","2019M11",34
"Røros","15-29 år","Personer registrert helt arbeidsledige","2018M11",14
"Røros","15-29 år","Personer registrert helt arbeidsledige","2019M11",10
"Røros","30-74 år","Personer registrert helt arbeidsledige","2018M11",22
"Røros","30-74 år","Personer registrert helt arbeidsledige","2019M11",24
"Holtålen","15-74 år","Personer registrert helt arbeidsledige","2018M11",14
"Holtålen","15-74 år","Personer registrert helt arbeidsledige","2019M11",9
"Holtålen","15-29 år","Personer registrert helt arbeidsledige","2018M11",3
"Holtålen","15-29 år","Personer registrert helt arbeidsledige","2019M11",3
"Holtålen","30-74 år","Personer registrert helt arbeidsledige","2018M11",11
"Holtålen","30-74 år","Personer registrert helt arbeidsledige","2019M11",6
"Midtre Gauldal","15-74 år","Personer registrert helt arbeidsledige","2018M11",58
"Midtre Gauldal","15-74 år","Personer registrert helt arbeidsledige","2019M11",40
